# Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ
1568752000 ; 11.707 ; 3.28316 ; 0 ; 0
1568844000 ; 11.7118 ; 3.28094 ; 0 ; 0
1568936000 ; 11.707 ; 3.28117 ; 0 ; 0
1569020000 ; 23.9801 ; 3.28369 ; 0 ; 0
1569109000 ; 35.5862 ; 3.28636 ; 0 ; 0
1569203000 ; 23.688 ; 3.28339 ; 0 ; 0
1569290000 ; 11.6972 ; 3.28285 ; 0 ; 0
1569381000 ; 11.696 ; 3.28102 ; 0 ; 0
1569470000 ; 11.6936 ; 3.28171 ; 0 ; 0
1569559000 ; 23.9789 ; 3.28407 ; 0 ; 0
1569649000 ; 35.5837 ; 3.28781 ; 0 ; 0
1569734000 ; 35.6336 ; 3.28644 ; 0 ; 0
1569824000 ; 35.6799 ; 3.28781 ; 0 ; 0
1569914000 ; 35.6592 ; 3.28644 ; 0 ; 0
1569997000 ; 35.6921 ; 3.28636 ; 0 ; 0
1570083000 ; 35.7018 ; 3.28651 ; 0 ; 0
1570178000 ; 35.7128 ; 3.28659 ; 0 ; 0
1570261000 ; 35.7067 ; 3.28659 ; 0 ; 0
1570351000 ; 35.7237 ; 3.28812 ; 0 ; 0
1570444000 ; 35.731 ; 3.28735 ; 0 ; 0
1570533000 ; 11.6875 ; 3.28117 ; 0 ; 0
1570623000 ; 11.7045 ; 3.2814 ; 0 ; 0
1570708000 ; 11.7045 ; 3.28125 ; 0 ; 0
1570798000 ; 11.7045 ; 3.28133 ; 0 ; 0
1570891000 ; 11.724 ; 3.28087 ; 0 ; 0
1570976000 ; 11.6875 ; 3.28094 ; 0 ; 0
1571068000 ; 11.7009 ; 3.28087 ; 0 ; 0
1571160000 ; 11.6984 ; 3.283 ; 0 ; 0
1571248000 ; 11.696 ; 3.28087 ; 0 ; 0
1571342000 ; 11.7057 ; 3.28064 ; 0 ; 0
1571435000 ; 11.6911 ; 3.28148 ; 0 ; 0
1571526000 ; 11.6984 ; 3.28117 ; 0 ; 0
1571622000 ; 11.7009 ; 3.28079 ; 0 ; 0
1571710000 ; 11.7021 ; 3.28094 ; 0 ; 0
1571797000 ; 11.7033 ; 3.28094 ; 0 ; 0
1571886000 ; 11.6984 ; 3.28079 ; 0 ; 0
1571975000 ; 11.6887 ; 3.28079 ; 0 ; 0
1572063000 ; 11.6753 ; 3.28087 ; 0 ; 0
1572158000 ; 11.7057 ; 3.28293 ; 0 ; 0
1572246000 ; 11.6924 ; 3.28308 ; 0 ; 0
1572328000 ; 11.6997 ; 3.28079 ; 0 ; 0
1572413000 ; 11.7009 ; 3.28072 ; 0 ; 0
1572502000 ; 11.6984 ; 3.28079 ; 0 ; 0
1572589000 ; 11.6863 ; 3.28278 ; 0 ; 0
1572680000 ; 11.6997 ; 3.28239 ; 0 ; 0
1572775000 ; 11.6911 ; 3.28087 ; 0 ; 0
1572861000 ; 11.6997 ; 3.28094 ; 0 ; 0
1572962000 ; 11.696 ; 3.28102 ; 0 ; 0
1573052000 ; 11.6814 ; 3.28079 ; 0 ; 0
1573143000 ; 11.6911 ; 3.28133 ; 0 ; 0
1573227000 ; 11.7057 ; 3.2814 ; 0 ; 0
1573313000 ; 11.696 ; 3.2814 ; 0 ; 0
1573406000 ; 23.5906 ; 3.28362 ; 0 ; 0
1573490000 ; 23.6587 ; 3.28369 ; 0 ; 0
1573581000 ; 23.6794 ; 3.28575 ; 0 ; 0
1573683000 ; 23.6989 ; 3.28354 ; 0 ; 0
1573772000 ; 23.7062 ; 3.28552 ; 0 ; 0
1573864000 ; 23.7172 ; 3.28354 ; 0 ; 0
1573949000 ; 23.7379 ; 3.28354 ; 0 ; 0
1574033000 ; 23.7196 ; 3.28369 ; 0 ; 0
1574118000 ; 23.7391 ; 3.28362 ; 0 ; 0
1574208000 ; 11.6972 ; 3.2811 ; 0 ; 0
1574299000 ; 11.7143 ; 3.28316 ; 0 ; 0
1574388000 ; 11.7131 ; 3.28102 ; 0 ; 0
1574485000 ; 11.6887 ; 3.28102 ; 0 ; 0
1574574000 ; 11.7094 ; 3.28186 ; 0 ; 0
1574664000 ; 11.6826 ; 3.28072 ; 0 ; 0
1574747000 ; 11.6924 ; 3.28094 ; 0 ; 0
1574840000 ; 11.6887 ; 3.28186 ; 0 ; 0
1574934000 ; 11.6936 ; 3.28377 ; 0 ; 0
1575019000 ; 11.6826 ; 3.28079 ; 0 ; 0
1575110000 ; 11.6924 ; 3.28102 ; 0 ; 0
1575195000 ; 11.6924 ; 3.28316 ; 0 ; 0
1575280000 ; 11.6948 ; 3.28094 ; 0 ; 0
1575362000 ; 11.7094 ; 3.28278 ; 0 ; 0
1575451000 ; 11.696 ; 3.28224 ; 0 ; 0
1575534000 ; 11.6814 ; 3.28102 ; 0 ; 0
1575619000 ; 11.6826 ; 3.283 ; 0 ; 0
1575708000 ; 11.6911 ; 3.2811 ; 0 ; 0
1575797000 ; 11.7009 ; 3.28087 ; 0 ; 0
1575895000 ; 11.696 ; 3.28079 ; 0 ; 0
1575980000 ; 11.7045 ; 3.28087 ; 0 ; 0
1576068000 ; 11.6911 ; 3.28056 ; 0 ; 0
1576165000 ; 11.6704 ; 3.28087 ; 0 ; 0
1576257000 ; 11.6924 ; 3.28094 ; 0 ; 0
1576341000 ; 11.7094 ; 3.28323 ; 0 ; 0
1576429000 ; 23.5297 ; 3.28255 ; 0 ; 0
1576521000 ; 23.6539 ; 3.28529 ; 0 ; 0
1576614000 ; 35.518 ; 3.28613 ; 0 ; 0
1576701000 ; 35.6129 ; 3.28644 ; 0 ; 0
1576790000 ; 23.6953 ; 3.28377 ; 0 ; 0
1576882000 ; 23.716 ; 3.28362 ; 0 ; 0
